friendattributes,gender,longitude,firstname,age,email,latitude,password,lastname,username
['tfrx'],male,-122.17367686806352,Greg,25,GregDeanGregDkCrNNZmGrb@gmail.com,37.76645071918431,cCaUSRKQYf,Dean,GregDkCrNNZmGrb
[],male,-122.29489802859648,Orla,54,OrlaElsieOrlaECfzPQDOpcU@gmail.com,38.01440175744599,oAUrFKMqsl,Elsie,OrlaECfzPQDOpcU
['tfrx'],female,-122.23621488699324,Harry,52,HarryOliviaHarryOuZKVjOfJMf@gmail.com,38.01131162826691,aWVcTTLOaL,Olivia,HarryOuZKVjOfJMf
[],female,-122.17971165241372,Neil,34,NeilMollyNeilMceRMODzrvI@gmail.com,37.98194328925828,VZbBLmdjhT,Molly,NeilMceRMODzrvI
[],female,-122.15034850064764,Eilidh,64,EilidhErinEilidhEACVUbMcGeo@gmail.com,37.948031337661,EZfQGyjiHB,Erin,EilidhEACVUbMcGeo
['tfrx'],female,-122.34714970989758,Sofia,55,SofiaLeoSofiaLNrzLDLzNtl@gmail.com,37.747394172338,AXewaTJijs,Leo,SofiaLNrzLDLzNtl
['tfrx'],male,-122.16465593439844,Taylor,35,TaylorRebeccaTaylorROhZhvYFPGY@gmail.com,37.77578166640351,WiEYKsZwjd,Rebecca,TaylorROhZhvYFPGY
[],male,-122.2147935539007,Leo,55,LeoLeoLeoLrAhIkcLbsO@gmail.com,38.003834597026085,gakjdCKSZp,Leo,LeoLrAhIkcLbsO
[],female,-122.3937478422665,Lucy,70,LucyPhilipLucyPwDIHKVjNuO@gmail.com,37.7919990910395,ylMduxPaBU,Philip,LucyPwDIHKVjNuO
[],female,-122.35371819118664,Jodie,46,JodieNatashaJodieNSVuiRWqSlM@gmail.com,37.991437523524205,KOvTfqkTxc,Natasha,JodieNSVuiRWqSlM
